Star,M(V),log(L/Lsun),Temp,Type
Sun,4.8,0,5840,G2
Canopus,-3.1,3.15,7400,F0
Alpha Centauri A,4.3,0.18,5840,G2
Capella,-0.6,2.15,5150,G8
Procyon A,2.6,0.88,6580,F5
Achemar,-2.4,2.84,20500,B3
Altair,2.2,1,8060,A7
Spica,-3.4,3.24,25500,B1
Fomalhaut,2,1.11,9060,A3
Deneb,-7.2,4.76,9340,A2
Regulus,-0.8,2.2,13260,B7
Adhara,-5.2,3.96,23000,B2
Bellatrix,-4.3,3.6,23000,B2
Gacrux,-0.5,2.1,3750,M3
Alpha Centauri B,5.8,-0.42,4730,K1
Miaplacidus,-0.6,2.14,9300,A0
Alnilam,-6.2,4.38,26950,B0
Alnitak,-5.9,4.26,33600,O9
Alioth,0.4,1.74,9900,A0
Kaus Australis,-0.3,2.02,11000,B9
Atria,-0.1,1.94,4590,K2
Alpha Crucis B,-3.3,3.22,20500,B3
Delta Canis Majoris,-8,5.1,6100,F8
Menkalinan,0.6,1.66,9340,A2
Mirzam,-4.8,3.82,25500,B1
Sirius A,1.4,1.34,9620,A1
Arcturus,-0.4,2.04,4590,K2
Vega,0.5,1.72,9900,A0
Rigel,-7.2,4.76,12140,B8
Betelgeuse,-5.7,4.16,3200,M2
Hadar,-5.3,4,25500,B1
Aldebaran,-0.8,2.2,4130,K5
Antares,-5.2,3.96,3340,M1
Pollux,1,1.52,4900,K0
Beta Crucis,-4.7,3.76,28000,B0
Acrux,-4,3.48,28000,B0
Shaula,-3.4,3.24,25500,B1
Castor,1.2,1.42,9620,A1
Beta Centauri,-5.1,3.94,25500,B1
Al Na'ir,-1.1,2.34,15550,B5
Elnath,-1.6,2.54,12400,B7
Mirfak,-4.6,3.74,7700,F5
Dubhe,0.2,1.82,4900,K0
Peacock,-2.3,2.82,20500,B3
Theta Scorpii,-5.6,4.14,7400,F0
Alkaid,-1.7,2.58,20500,B3
Avior,-2.1,2.74,4900,K0
Alhena,0,1.9,9900,A0
Polaris,-4.6,3.74,6100,F8
Delta Vulpeculae,0.6,1.66,9900,A0
